id,is_iceberg
5941774d,0.6297875
4023181e,0.9176637
b20200e4,0.4293786
e7f018bb,0.89623845
4371c8c3,0.5518734
a8d9b1fd,0.099199995
29e7727e,0.33970684
92a51ffb,0.92927116
c769ac97,1.45605345e-05
aee0547d,6.414798e-09
565b28ac,4.872794e-06
e04e9775,0.9308849
8e8161d1,0.0018056511
4cf4d256,0.70843697
139e5324,0.0232927
f156976f,0.0036614619
68a117cc,0.00067821983
d9aa7a56,0.06770896
9005b143,0.97604567
5f6d3988,0.7108061
9ad70954,0.4095741
b9087b9e,0.51246923
a39a1427,0.8468886
82fbe8ed,0.4607072
1fae4879,3.069856e-17
6dd8f13d,1.7049666e-06
bbad5958,0.11616802
54527583,0.14340957
be8fa29c,0.051068038
81a3328f,0.89339846
1a3c0ab3,0.9999833
4deeeb8b,0.4542323
ac6d5632,0.5068713
472dadb5,0.9671806
96093f95,0.66640866
f5b4e3df,0.85142994
e01a3c92,0.066899136
001680af,0.97887474
8e639f33,0.69476277
a2c16612,0.43214408
a6d76474,1.4211546e-14
19c47684,0.5601836
015827b6,0.8893714
7df7f7ce,0.5977013
0bbf1a3f,0.69158787
636cfbb7,0.2646429
7370030a,0.94562596
43aa97ad,1.7277365e-11
ba2b5e63,0.9644457
dfdd335b,0.96580184
e79b13dc,0.99228656
dc32b195,0.8616874
6d868590,0.9251747
75fa59aa,0.09849347
ffe50836,0.88732684
a7bfd784,0.6667113
b3d569e3,0.17630827
6c538c5b,0.05469297
5c7c15f4,1.0
0b745139,0.97736037
fd14608e,0.5372972
f0bc8305,0.2854981
a10ccb28,0.9667545
543304c7,0.7771451
6c3a4078,2.3542626e-23
9b73cc75,0.6131168
5c6c71b1,0.4821274
09ee9186,0.9970943
207c35cf,0.38221508
153c813e,1.0
5605d58b,0.88819486
642ca396,0.05923917
d32d72c0,0.7681164
16646a17,0.9492117
384074af,0.9920144
69bf1e8c,0.6445251
9e90a054,0.7125543
89dbe7f7,0.9390744
dbd27d22,0.88153493
a2ea1561,0.80996895
d63402af,0.7240976
1ac8bb92,0.9651057
8beffca5,0.91050607
46741f3e,0.0045381864
e5ee6aa7,0.99696213
5ecd892b,0.7401912
69892166,0.915923
2f725a81,0.33826157
810abfe4,1.0484955e-06
e6f973e6,0.89791167
c60a5c46,0.09256494
c42b9e08,0.18774986
c3f00c23,0.9999924
5307fdb8,0.94867474
3e4f005e,0.007913144
4a4cc2e0,0.70683676
9bdd88d1,4.3017243e-09
0d832bed,0.02591643
14a134fa,0.0068499413
78a41676,9.7773e-08
0bd4658e,0.15709868
4a311bb0,0.8435994
f939c817,0.15633954
956adc4d,0.97219443
f8a119f5,0.75252014
61faa1ad,0.9956678
6725eb3e,0.9371277
17b3a8fd,9.20053e-05
49a88dfc,0.0018926879
2d6ec645,0.9150896
0d4d77ba,0.6495199
3ee672a2,0.9827855
738b41fd,0.71312565
f7fb320d,0.8057059
b42fad18,2.4664427e-11
4ab8b00a,0.80740327
f7870f2b,0.028729092
4978666a,0.71018267
f1b0d6c7,0.0067233397
5642407f,0.08073736
36d4ff92,0.8273485
4139aba2,0.7986891
7585ce58,0.4595641
33e25984,0.9726576
ac46f3c9,0.32885998
fc34a5b8,0.6711078
85c36a8f,0.6975448
b2d8a426,0.1834472
13ec60d1,0.48604563
9d440f42,0.743223
1c0a891e,0.6443007
981c3bc3,0.9740858
295604f4,0.76152724
16ca16c3,0.029140541
b4dda837,0.4245983
88d088ef,0.00041533718
1b4fa160,0.9229289
f371bd82,0.9999635
