id,price
15035,475907.15645807807
15036,416699.97860270494
15037,885122.2194411388
15038,359983.1564063142
15039,352034.23558309005
15040,368156.4770416054
15041,466131.9797423513
15042,595453.3672632269
15043,378996.6582577537
15044,501751.89253338607
15045,598983.1588586606
15046,299999.4189663985
15047,533000.0702442002
15048,475431.19157675613
15049,508365.97398318874
15050,298207.97949124424
15051,466436.34288281004
15052,488164.0066131768
15053,682367.4537833877
15054,407710.8918748641
15055,424013.5560009404
15056,569339.1158161985
15057,716928.6040632732
15058,378767.2918745127
15059,487344.5425066455
15060,402765.3075348559
15061,435986.1893653556
15062,602054.3674846428
15063,370835.2035690546
15064,553802.4601985854
15065,604868.1555085112
15066,379192.95285728504
15067,540061.9425058478
15068,682820.4469857613
15069,412361.10132988985
15070,524793.1947587467
15071,527391.2947261545
15072,514348.22034274775
15073,403618.5022050573
15074,389077.797843504
15075,641366.077988999
15076,706854.9139860282
15077,423722.63555772416
15078,289180.9875801251
15079,705587.3798016545
15080,489625.06986574014
15081,471772.9659591294
15082,585819.2993308583
15083,337434.65498517425
15084,526904.7654097077
15085,640714.1018013868
15086,435356.99815215624
15087,387393.12219386746
15088,488398.2891788767
15089,297416.5819201623
15090,431600.4554993645
15091,391646.16612780374
15092,302305.200242073
15093,498872.5949938831
15094,372977.19027037127
15095,321532.55552347045
15096,454364.2184255377
15097,571071.4309880997
15098,504435.3840207743
15099,272173.22912925726
15100,510114.5372814043
15101,271033.7261901003
15102,452740.34680901945
15103,648338.2144808684
15104,420961.03801026643
15105,408360.6776459273
15106,491351.09662299836
15107,499022.06665438326
15108,366349.69300229603
15109,381746.67479360726
15110,326411.13375235803
15111,443549.3442148976
15112,377807.16601196077
15113,372325.399594142
15114,310125.43221710535
15115,413211.973435455
15116,416688.20201218716
15117,379653.2593774255
15118,458815.09725359007
15119,582450.7622803828
15120,470756.2335040594
15121,306038.53057236143
15122,348226.1161998105
15123,599984.0938914851
15124,466610.03360035707
15125,549016.167351856
15126,415931.39490994957
15127,662725.7135911225
15128,439447.7234408091
15129,312947.40045235486
15130,312947.40045235486
15131,296331.00678531564
15132,624896.5535108427
15133,739296.6311295176
15134,479316.3757479528
15135,602637.3134052223
15136,285963.5017570101
15137,579154.4252076517
15138,340533.556504231
15139,432634.8608266297
15140,541570.7261085289
15141,395178.1246706143
15142,426620.3131758488
15143,552527.5523018028
15144,576376.6250663776
15145,514143.72728480754
15146,505826.5087942366
15147,343115.9391906977
15148,319589.4640225904
15149,506901.70276405447
15150,448517.74228979053
15151,459850.62978537637
15152,328094.4694676064
15153,422944.95805659523
15154,800085.0221155497
15155,273651.12203119794
15156,438440.68837191764
15157,423899.1090389703
15158,406512.71021529817
15159,360218.5743192606
15160,538271.8566000687
15161,724758.3547441564
15162,477972.1019325065
15163,408330.7161126014
15164,463792.06308146025
15165,644327.9943430736
15166,761343.2824916791
15167,512618.8924042587
15168,584184.7337883408
15169,550851.0208722543
15170,271348.04629090795
15171,503938.6543166491
15172,327791.79693026503
15173,565931.8067282527
15174,304543.14031148236
15175,285166.72008430236
15176,536717.4606739201
15177,361346.9527404767
15178,423004.7245454815
15179,723277.7889604252
15180,558304.8283283035
15181,425034.2807728142
15182,635068.0559093978
15183,330365.50666187296
15184,444178.8666877957
15185,396913.4627830969
15186,845350.2240179733
15187,404458.65376724023
15188,468979.78250877914
15189,365765.85692507896
15190,582197.5965536004
15191,305036.5819094615
15192,451475.36776093085
15193,505410.3782546539
15194,322699.46359049884
15195,341205.34290527494
15196,525862.7720236478
15197,486550.9036354016
15198,442220.42879907857
15199,410773.73583747825
15200,350080.4743371354
15201,549057.1617476904
15202,434076.28263208736
15203,271033.7261901003
15204,273264.9692974282
15205,395089.4938698818
15206,795923.2599439638
15207,445774.22347858036
15208,317120.8424271
15209,387266.5614267556
15210,387203.7641735256
15211,397664.4610896785
15212,617998.2421885045
15213,486567.9676798878
15214,393422.79473885807
15215,483782.59473056183
15216,294125.0993164439
15217,295507.36569110566
15218,459049.3035189316
15219,405575.93275122496
15220,385005.8370275766
15221,627606.6166453882
15222,331086.5032325278
15223,554237.6962432448
15224,495668.4848434414
15225,417499.77801956836
15226,296618.4770024196
15227,528461.3427432136
15228,465027.484152084
15229,538065.0392732426
15230,449412.23750168004
15231,324007.56738633243
15232,444105.11754069093
15233,523891.1136990885
15234,871377.7865020403
15235,448001.89686468936
15236,407096.85355218465
15237,369203.4772615526
15238,486810.26453702
15239,577296.6287232378
15240,426035.85199001525
15241,389243.34670727805
15242,529057.4746047293
15243,309269.72048065084
15244,615047.5104755006
15245,511579.2428746591
15246,499372.85676506866
15247,393173.41789256246
15248,554346.9030176095
15249,353224.5508079394
15250,1159652.2797769776
15251,434309.19698103005
15252,542184.4826955852
15253,457858.4737561821
15254,403159.1341799255
15255,377374.6701580452
15256,374724.70264551777
15257,375094.5470486718
15258,404315.992482422
15259,301180.7644283101
15260,475583.1615804535
15261,312783.9467427525
15262,438257.9344977338
15263,408598.6876300724
15264,485366.48046619305
15265,629590.0248361004
15266,438440.68837191764
15267,438373.24663894007
15268,442579.46963870915
15269,474010.9976838084
15270,599975.5373709468
15271,834999.3352753558
15272,341972.8624118197
15273,313191.17236706207
15274,586321.875706217
15275,403159.1341799255
15276,535685.9336524929
15277,347906.87199287454
15278,793744.6223857421
15279,350259.52202591253
15280,520003.854070551
15281,732052.8463361344
15282,375248.1363652658
15283,336663.5333872225
15284,616287.2620071482
15285,689899.2372375813
15286,497581.74926962063
15287,628408.1143814421
15288,548880.0718353309
15289,571825.9778035183
15290,447837.8602751611
15291,432355.96601780754
15292,407395.87766726664
15293,485490.18491298007
15294,653905.8120324466
15295,464349.3322614313
15296,302167.1372891404
15297,299419.1578012841
15298,727275.895465529
15299,392667.73501480033
15300,358340.25952305296
15301,414405.82585164043
15302,272173.22912925726
15303,439312.4251542456
15304,579540.0065125407
15305,329192.3714417482
15306,552234.0410133995
15307,531910.7484199386
15308,493958.2391021334
15309,355807.79697958386
15310,444836.9217417911
15311,497955.2485809757
15312,469163.3152755036
15313,1029920.6458277116
